Tanggal;Tavg
26/11/2023;28,5
27/11/2023;27,1
28/11/2023;28,3
29/11/2023;28,1
30/11/2023;27,1
01/12/2023;26,3
02/12/2023;28,2
03/12/2023;27,6
04/12/2023;25,9
05/12/2023;28,4
06/12/2023;28,4
07/12/2023;28,5
08/12/2023;28,4
09/12/2023;28,2
10/12/2023;28,4
11/12/2023;29
12/12/2023;28,7
13/12/2023;29,1
14/12/2023;29,3
15/12/2023;29,2
16/12/2023;29,2
17/12/2023;29,2
18/12/2023;29,5
19/12/2023;28,8
20/12/2023;28,7
21/12/2023;28,6
22/12/2023;28,5
23/12/2023;29,5
24/12/2023;29,7
25/12/2023;27,4
26/12/2023;27,5
27/12/2023;27,9
28/12/2023;28,9
29/12/2023;28,1
30/12/2023;27,9
31/12/2023;27,6
01/01/2024;28,7
02/01/2024;28,8
03/01/2024;27,1
04/01/2024;26,1
05/01/2024;27,6
06/01/2024;26,9
07/01/2024;27
08/01/2024;27,1
09/01/2024;28,3
10/01/2024;28,1
11/01/2024;26,9
12/01/2024;27,3
13/01/2024;27,5
14/01/2024;28,1
15/01/2024;28,8
16/01/2024;28,9
17/01/2024;27,1
18/01/2024;27,1
19/01/2024;25,3
20/01/2024;28,8
21/01/2024;27,2
22/01/2024;29
23/01/2024;28,7
24/01/2024;28,2
25/01/2024;29,1
26/01/2024;28,3
27/01/2024;25,1
28/01/2024;26,9
29/01/2024;26,7
30/01/2024;26,7
31/01/2024;27,1
01/02/2024;27,5
02/02/2024;28,6
03/02/2024;27,1
04/02/2024;26,8
05/02/2024;27,3
06/02/2024;25,5
07/02/2024;28
08/02/2024;28,2
09/02/2024;28,9
10/02/2024;28
11/02/2024;28,3
12/02/2024;28
13/02/2024;28,4
14/02/2024;27,6
15/02/2024;28,4
16/02/2024;27,4
17/02/2024;27,8
18/02/2024;28,5
19/02/2024;28,4
20/02/2024;29,1
21/02/2024;28,6
22/02/2024;30,2
23/02/2024;29,7
24/02/2024;28,3
25/02/2024;28
26/02/2024;28
27/02/2024;28,1
28/02/2024;26,8
29/02/2024;25,9
01/03/2024;28,5
02/03/2024;27,5
03/03/2024;27,8
04/03/2024;28,9
05/03/2024;29,3
06/03/2024;28,9
07/03/2024;28,7
08/03/2024;28,5
09/03/2024;24,9
10/03/2024;27,3
11/03/2024;27,8
12/03/2024;28,1
13/03/2024;28,1
14/03/2024;26,4
15/03/2024;26,7
16/03/2024;25,5
17/03/2024;26,6
18/03/2024;28,2
19/03/2024;28,8
20/03/2024;29
21/03/2024;28
22/03/2024;25,5
23/03/2024;28,8
24/03/2024;29
25/03/2024;28,3
26/03/2024;28,7
27/03/2024;26,9
28/03/2024;28,6
29/03/2024;28,4
30/03/2024;28,6
31/03/2024;29,3
01/04/2024;28,4
02/04/2024;28,7
03/04/2024;27,9
04/04/2024;29,2
05/04/2024;29,1
06/04/2024;29,4
07/04/2024;29,5
08/04/2024;29,3
09/04/2024;27,6
10/04/2024;28,5
11/04/2024;28,4
12/04/2024;27,2
13/04/2024;28,8
14/04/2024;28,5
15/04/2024;29,3
16/04/2024;29,3
17/04/2024;27,9
18/04/2024;28,3
19/04/2024;28,4
20/04/2024;28,5
21/04/2024;28,3
22/04/2024;29,2
23/04/2024;28,7
24/04/2024;29
25/04/2024;28,3
26/04/2024;28,5
27/04/2024;27,9
28/04/2024;29,2
29/04/2024;30,1
30/04/2024;29,1
